SANCAID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_2;P_3;P_5;P_6;P_8;P_9;P_11;P_12;P_14;P_15;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
75;8.6.1997;23;1;7;6;8;1;8;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
76;15.6.1997;24;6;1;6;6;6;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
77;22.6.1997;25;7;0;4;8;5;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
78;29.6.1997;26;3;8;8;7;5;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
79;6.7.1997;27;7;4;0;1;3;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
80;13.7.1997;28;7;3;1;7;2;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
81;20.7.1997;29;0;0;8;7;4;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
82;27.7.1997;30;8;6;6;4;7;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
83;3.8.1997;31;4;9;0;7;6;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
84;10.8.1997;32;5;6;0;3;8;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
85;17.8.1997;33;4;8;7;6;8;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
86;24.8.1997;34;7;6;3;3;6;8;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
87;31.8.1997;35;2;0;9;2;1;8;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
88;7.9.1997;36;5;8;7;0;2;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
89;14.9.1997;37;1;3;8;6;6;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
90;21.9.1997;38;9;0;1;4;5;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
91;28.9.1997;39;6;4;9;4;8;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
92;5.10.1997;40;7;6;8;2;0;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
93;12.10.1997;41;7;6;7;0;3;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
94;19.10.1997;42;5;8;9;4;7;8;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
95;26.10.1997;43;7;8;4;4;3;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
96;2.11.1997;44;1;4;9;7;2;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
97;9.11.1997;45;1;1;0;9;2;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
98;16.11.1997;46;0;1;2;8;9;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
99;23.11.1997;47;6;3;8;0;2;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
100;30.11.1997;48;7;6;5;8;2;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
101;7.12.1997;49;0;6;6;8;8;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
102;14.12.1997;50;3;8;2;6;5;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
103;21.12.1997;51;8;2;8;5;8;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
104;28.12.1997;52;7;3;3;0;7;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
105;4.1.1998;53;9;8;6;5;7;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
106;11.1.1998;2;0;2;7;9;1;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
