KENOID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20
127;20.4.1996;16;7;12;13;20;23;24;26;28;30;32;34;38;40;48;55;64;71;76;78;80
128;22.4.1996;16;2;3;8;12;14;20;21;22;25;31;41;52;54;58;60;68;69;76;79;80
129;23.4.1996;17;3;8;17;28;29;31;33;34;35;40;44;49;51;54;57;59;60;71;73;78
130;24.4.1996;17;5;6;7;14;16;17;25;26;28;31;41;42;46;47;49;50;56;59;60;66
131;25.4.1996;17;5;17;25;26;27;28;33;35;36;40;44;45;49;50;55;60;63;71;73;75
132;26.4.1996;17;7;12;14;16;18;21;26;28;30;31;37;41;44;45;57;59;61;62;76;79
133;27.4.1996;17;1;2;5;8;16;21;23;33;47;57;61;62;67;68;69;72;74;75;77;78
134;29.4.1996;17;10;17;18;20;22;24;25;32;38;41;47;48;50;58;61;65;69;71;73;75
135;30.4.1996;18;1;2;3;4;17;21;24;36;40;44;45;46;53;54;65;68;74;77;78;80
136;1.5.1996;18;4;6;7;8;11;12;16;19;21;23;24;36;37;41;51;52;56;61;71;74
137;2.5.1996;18;7;9;16;34;37;38;43;45;46;48;49;50;54;57;58;60;61;64;68;72
138;3.5.1996;18;1;4;5;7;8;16;18;23;24;30;41;42;50;58;59;62;73;74;75;79
139;4.5.1996;18;4;7;9;16;18;19;22;23;28;32;33;34;42;47;50;54;57;60;65;69
140;6.5.1996;18;1;3;10;25;26;29;33;34;40;41;45;49;56;59;60;67;69;70;74;77
141;7.5.1996;19;1;2;13;15;16;17;19;22;33;34;38;39;45;46;47;55;63;66;68;77
142;8.5.1996;19;1;2;4;6;10;14;16;22;24;27;30;31;32;38;40;45;48;51;57;74
143;9.5.1996;19;17;20;22;24;30;32;34;42;46;47;48;49;54;67;68;72;73;75;79;80
144;10.5.1996;19;7;16;20;21;24;26;28;30;31;36;43;44;47;50;52;53;55;67;70;76
145;11.5.1996;19;5;9;12;13;24;31;36;37;38;43;48;51;53;58;62;67;69;75;76;79
146;13.5.1996;19;6;13;23;29;32;34;36;39;40;46;48;51;53;61;63;64;68;72;73;76
147;14.5.1996;20;5;6;8;14;22;25;26;36;43;45;50;51;59;61;62;65;66;68;75;78
148;15.5.1996;20;4;15;24;28;31;33;34;36;40;46;48;52;58;60;66;67;76;78;79;80
149;16.5.1996;20;1;7;11;14;15;18;22;29;31;32;33;35;44;49;51;52;64;68;79;80
150;17.5.1996;20;3;8;11;22;23;25;26;31;35;42;44;47;56;61;62;63;69;73;74;78
151;18.5.1996;20;5;6;11;17;18;21;24;25;29;36;38;46;49;52;54;55;61;71;73;78
152;20.5.1996;20;3;13;14;16;27;28;38;39;46;48;49;53;55;58;60;65;74;77;78;80
153;21.5.1996;21;3;4;8;10;15;16;34;39;42;43;46;49;50;59;61;69;72;74;78;80
154;22.5.1996;21;2;3;4;8;9;13;25;27;28;32;34;35;36;47;51;53;60;63;72;74
155;23.5.1996;21;1;2;13;14;16;17;21;27;31;35;37;40;42;43;46;48;57;58;64;65
156;24.5.1996;21;3;11;14;15;18;20;22;27;28;33;35;36;37;38;39;40;41;59;64;76
157;25.5.1996;21;3;5;8;9;15;20;24;27;28;34;35;38;40;53;55;64;76;77;78;79
158;27.5.1996;21;3;5;7;11;12;14;15;24;30;31;35;37;41;43;47;58;62;69;76;80
159;28.5.1996;22;6;10;13;17;25;33;35;37;38;41;54;55;56;57;62;65;67;74;75;76
160;29.5.1996;22;2;8;11;14;22;31;33;45;50;54;59;62;63;64;66;67;72;75;76;80
161;30.5.1996;22;2;5;6;7;9;11;15;19;31;33;35;36;42;44;49;50;56;62;66;72
162;31.5.1996;22;1;5;6;11;14;18;30;31;33;37;38;39;40;42;43;54;59;60;61;63
163;1.6.1996;22;1;4;5;10;12;13;17;21;25;32;44;47;48;61;64;66;71;73;74;79
164;3.6.1996;22;3;7;17;18;23;27;33;35;43;45;47;52;53;56;62;63;66;67;74;78
165;4.6.1996;23;6;8;11;12;18;21;22;24;25;28;31;33;44;51;52;56;66;67;76;77
166;5.6.1996;23;4;10;18;20;21;25;26;27;33;34;46;47;50;52;55;58;61;66;74;75
167;6.6.1996;23;4;6;15;16;19;20;22;27;29;32;39;43;47;54;56;60;62;67;71;72
168;7.6.1996;23;7;31;32;40;44;46;47;48;51;58;60;64;66;67;69;71;73;76;78;79
169;8.6.1996;23;4;6;8;9;13;23;25;29;31;33;40;42;43;44;47;60;64;67;68;79
170;10.6.1996;23;1;3;4;5;15;18;19;24;26;27;35;36;46;53;57;60;61;67;72;80
171;11.6.1996;24;3;4;11;12;16;19;21;33;39;45;48;52;54;55;57;58;59;62;74;77
172;12.6.1996;24;5;8;16;18;23;24;27;31;34;37;38;44;48;51;54;63;65;69;78;80
173;13.6.1996;24;6;7;10;21;23;24;28;32;39;41;42;45;50;51;54;57;62;66;71;79
174;14.6.1996;24;2;3;8;10;11;13;15;17;21;26;32;33;34;41;44;54;55;56;67;70
175;15.6.1996;24;3;6;8;10;13;18;22;28;34;37;51;52;55;57;59;60;61;65;68;71
176;17.6.1996;24;1;3;5;11;18;25;31;32;37;43;45;48;53;62;63;64;72;73;74;76
177;18.6.1996;25;2;10;13;14;17;18;22;25;27;32;33;34;36;50;54;55;59;62;65;66
178;19.6.1996;25;16;17;20;26;29;35;36;40;43;50;52;53;54;57;60;65;67;72;73;75
179;20.6.1996;25;1;2;4;6;19;24;28;34;35;36;48;49;55;57;60;61;68;74;79;80
180;21.6.1996;25;18;22;29;34;36;42;44;45;46;50;55;57;60;64;65;67;71;72;73;78
181;22.6.1996;25;7;9;13;17;24;26;27;33;40;43;44;45;47;50;53;56;58;65;70;75
182;24.6.1996;25;6;9;12;23;25;30;34;36;37;46;51;55;57;60;63;66;67;69;75;77
183;25.6.1996;26;4;8;15;18;19;24;25;33;38;42;46;48;55;59;62;64;72;76;77;79
184;26.6.1996;26;7;8;9;16;17;21;24;34;44;47;56;59;60;61;63;66;71;78;79;80
185;27.6.1996;26;2;6;9;11;12;13;20;25;35;36;40;45;46;50;52;53;58;67;71;75
186;28.6.1996;26;4;5;15;17;18;19;20;23;24;26;28;31;35;39;58;60;65;69;71;75
187;29.6.1996;26;3;5;7;11;17;30;37;43;44;45;46;48;57;58;59;60;68;73;74;76
188;1.7.1996;26;1;11;22;23;29;30;39;43;44;46;47;50;51;52;64;67;69;70;72;73
189;2.7.1996;27;4;8;11;18;19;20;25;40;41;45;46;50;52;56;58;59;61;65;70;79
190;3.7.1996;27;3;4;8;10;16;17;26;29;33;37;38;43;45;57;58;62;63;68;73;77
191;4.7.1996;27;1;2;6;8;9;18;25;28;29;38;39;45;50;51;53;57;63;66;72;76
192;6.7.1996;27;2;7;8;10;13;15;22;25;26;29;33;36;43;45;58;60;67;75;76;78
193;8.7.1996;27;1;2;6;14;17;19;20;21;22;29;30;32;36;43;46;47;50;64;71;73
194;9.7.1996;27;1;6;8;12;19;20;22;28;30;32;35;41;43;47;50;63;68;69;72;80
195;10.7.1996;28;4;22;23;28;33;37;39;40;41;44;51;52;53;56;61;62;68;69;73;78
196;11.7.1996;28;1;4;5;11;15;16;24;35;40;41;42;44;45;46;55;58;62;66;74;76
197;12.7.1996;28;2;3;5;19;23;32;37;38;39;40;44;48;56;58;59;63;64;66;72;78
198;13.7.1996;28;1;7;10;12;13;16;18;22;24;27;33;39;49;56;58;61;62;66;74;79
199;15.7.1996;28;2;3;9;14;17;25;26;33;40;45;48;52;55;57;61;62;65;75;77;80
200;16.7.1996;28;3;12;14;18;21;22;23;24;26;28;29;34;36;49;61;71;72;73;74;78
201;17.7.1996;29;1;5;7;10;13;15;19;22;28;30;33;49;52;60;62;63;69;76;78;80
202;18.7.1996;29;1;4;6;9;10;16;19;20;23;26;40;41;51;53;55;62;66;69;71;77
203;19.7.1996;29;1;2;5;11;17;19;21;23;27;29;31;33;45;46;63;64;65;71;73;74
204;20.7.1996;29;9;19;20;23;24;33;34;35;36;43;47;48;49;52;53;62;63;66;75;76
205;22.7.1996;29;1;3;7;8;11;22;24;25;26;28;30;34;39;48;57;58;59;63;67;75
206;23.7.1996;29;1;2;7;14;16;19;21;23;29;32;40;44;49;52;59;60;61;67;68;73
207;24.7.1996;30;5;11;18;21;39;42;44;45;48;49;50;53;54;55;58;61;71;72;74;79
208;25.7.1996;30;5;6;12;13;20;21;25;33;35;36;40;44;50;53;62;65;67;74;76;80
209;26.7.1996;30;12;13;23;25;30;31;36;38;48;49;50;55;56;57;58;59;63;64;65;70
210;27.7.1996;30;6;7;10;15;16;21;28;29;36;38;39;49;52;55;58;60;66;73;76;80
211;29.7.1996;30;6;14;15;16;19;21;23;27;34;38;48;49;51;53;54;56;59;66;68;69
212;30.7.1996;30;2;4;10;22;26;30;31;37;38;47;50;51;58;60;65;67;71;73;75;78
213;31.7.1996;31;1;4;17;18;22;26;30;31;35;36;48;50;53;55;58;61;63;74;75;77
214;1.8.1996;31;1;3;11;13;17;19;24;29;33;34;38;39;49;55;57;58;59;61;78;79
215;2.8.1996;31;1;6;7;17;18;20;21;26;27;33;40;45;48;52;57;66;67;68;69;77
216;3.8.1996;31;3;5;9;13;16;17;23;32;33;34;38;41;43;49;50;61;71;72;73;77
217;5.8.1996;31;6;10;12;13;18;22;23;27;37;38;40;50;51;56;59;63;69;72;73;75
218;6.8.1996;31;6;12;13;16;17;23;33;36;38;42;43;45;48;50;51;59;61;63;68;80
219;7.8.1996;32;5;8;9;18;23;25;30;32;34;39;44;46;48;60;65;67;69;71;72;74
