SPORTKA2ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;DODAT;E_1;E_2;E_3;E_4;E_5;E_6;E_7;E_8;E_9;E_10;E_11;E_12;E_13;E_14;JACKPOT2;VKLAD1;NA_VYHRY2;PREDP_SUMA2;SUMA_VYHRY2
49;30.3.1958;13;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
50;6.4.1958;14;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
51;13.4.1958;15;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
52;20.4.1958;16;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
53;27.4.1958;17;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
54;4.5.1958;18;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
55;11.5.1958;19;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
56;18.5.1958;20;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
57;25.5.1958;21;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
58;1.6.1958;22;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
59;8.6.1958;23;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
60;15.6.1958;24;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
61;22.6.1958;25;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
62;29.6.1958;26;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
63;6.7.1958;27;0;0;0;0;0;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;0.00;0;0.00;-1.00;-1.00;-1.00;0.00;0.00
