ID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;P_9;P_10;P_11;P_12;JACKPOT;VKLAD;NA_VYHRY
51;29.10.2014;44;6;0;5;8;6;6;0;0,00000;0;1200,00000;0;150,00000;16;30,00000;122;2,50000;1314;0,50000;18434,20000;4376,70000;19876,20000
52;30.10.2014;44;4;7;9;4;2;7;0;0,00000;0;1200,00000;3;150,00000;11;30,00000;129;2,50000;1314;0,50000;18921,70000;4494,00000;20681,20000
53;31.10.2014;44;4;0;9;8;8;3;0;0,00000;0;1200,00000;2;150,00000;15;30,00000;152;2,50000;1360;0,50000;19421,25000;4619,10000;21231,25000
54;1.11.2014;44;6;4;0;8;4;1;0;0,00000;1;1200,00000;1;150,00000;16;30,00000;126;2,50000;1223;0,50000;18695,30000;4061,10000;21451,80000
55;2.11.2014;44;9;1;2;4;9;0;0;0,00000;0;1200,00000;1;150,00000;6;30,00000;113;2,50000;1167;0,50000;19530,45000;4062,30000;20726,45000
56;3.11.2014;45;1;3;1;6;9;6;0;0,00000;0;1200,00000;0;150,00000;5;30,00000;129;2,50000;1296;0,50000;20527,95000;4236,00000;21648,45000
57;4.11.2014;45;5;9;6;4;9;6;0;0,00000;0;1200,00000;1;150,00000;9;30,00000;136;2,50000;1385;0,50000;21264,70000;4378,50000;22717,20000
58;5.11.2014;45;6;9;8;8;4;1;0;0,00000;0;1200,00000;3;150,00000;17;30,00000;127;2,50000;1367;0,50000;21525,50000;4443,60000;23486,50000
59;6.11.2014;45;7;7;8;3;7;7;0;0,00000;0;1200,00000;0;150,00000;15;30,00000;136;2,50000;1405;0,50000;22320,50000;4575,00000;23813,00000
60;7.11.2014;45;8;8;0;2;8;7;0;0,00000;0;1200,00000;2;150,00000;21;30,00000;156;2,50000;1418;0,50000;22712,05000;4841,10000;24741,05000
61;8.11.2014;45;9;3;5;0;9;3;0;0,00000;0;1200,00000;0;150,00000;10;30,00000;143;2,50000;1337;0,50000;23642,95000;4513,80000;24968,95000
62;9.11.2014;45;6;2;0;6;6;4;0;0,00000;0;1200,00000;2;150,00000;12;30,00000;118;2,50000;1212;0,50000;24199,80000;4235,70000;25760,80000
63;10.11.2014;46;8;6;7;3;8;6;0;0,00000;0;1200,00000;2;150,00000;10;30,00000;128;2,50000;1326;0,50000;24788,65000;4343,70000;26371,65000
64;11.11.2014;46;9;4;9;1;4;5;0;0,00000;1;1200,00000;1;150,00000;12;30,00000;146;2,50000;1377;0,50000;24276,20000;4502,10000;27039,70000
65;12.11.2014;46;1;3;5;9;0;0;0;0,00000;0;1200,00000;2;150,00000;11;30,00000;130;2,50000;1338;0,50000;24915,40000;4526,40000;26539,40000
66;13.11.2014;46;5;8;2;0;5;9;0;0,00000;0;1200,00000;3;150,00000;8;30,00000;147;2,50000;1421;0,50000;25540,35000;4785,90000;27308,35000
67;14.11.2014;46;9;4;6;8;2;0;0;0,00000;0;1200,00000;3;150,00000;12;30,00000;161;2,50000;1475;0,50000;26080,65000;4980,60000;28030,65000
68;15.11.2014;46;5;5;8;4;2;8;0;0,00000;0;1200,00000;0;150,00000;26;30,00000;140;2,50000;1414;0,50000;26579,30000;4671,30000;28416,30000
69;16.11.2014;46;5;9;2;6;9;5;0;0,00000;0;1200,00000;3;150,00000;19;30,00000;132;2,50000;1305;0,50000;26756,45000;4359,30000;28758,95000
70;17.11.2014;47;0;0;3;9;1;7;0;0,00000;0;1200,00000;1;150,00000;16;30,00000;112;2,50000;1142;0,50000;27174,45000;3798,00000;28655,45000
71;18.11.2014;47;4;7;8;5;1;6;0;0,00000;0;1200,00000;3;150,00000;9;30,00000;113;2,50000;1309;0,50000;27747,20000;4459,50000;29404,20000
72;19.11.2014;47;3;7;2;2;0;1;0;0,00000;0;1200,00000;1;150,00000;11;30,00000;133;2,50000;1360;0,50000;28549,25000;4589,10000;30041,75000
73;20.11.2014;47;8;2;7;6;4;0;0;0,00000;1;1200,00000;1;150,00000;13;30,00000;149;2,50000;1456;0,50000;28141,00000;4864,50000;30981,50000
74;21.11.2014;47;0;1;0;4;1;8;0;0,00000;0;1200,00000;2;150,00000;13;30,00000;161;2,50000;1477;0,50000;28758,75000;4897,50000;30589,75000
75;22.11.2014;47;7;3;7;5;4;3;0;0,00000;0;1200,00000;2;150,00000;7;30,00000;135;2,50000;1409;0,50000;29473,70000;4533,90000;31025,70000
76;23.11.2014;47;0;1;9;5;2;2;0;0,00000;0;1200,00000;1;150,00000;12;30,00000;124;2,50000;1349;0,50000;30167,70000;4377,00000;31662,20000
77;24.11.2014;48;0;6;4;4;9;8;0;0,00000;0;1200,00000;2;150,00000;15;30,00000;141;2,50000;1355;0,50000;30623,60000;4471,80000;32403,60000
78;25.11.2014;48;9;0;2;4;8;2;0;0,00000;0;1200,00000;0;150,00000;5;30,00000;142;2,50000;1358;0,50000;31680,45000;4481,70000;32864,45000
79;26.11.2014;48;3;2;6;3;9;3;0;0,00000;0;1200,00000;2;150,00000;9;30,00000;150;2,50000;1323;0,50000;32307,30000;4466,70000;33913,80000
80;27.11.2014;48;1;3;7;8;0;7;0;0,00000;0;1200,00000;1;150,00000;17;30,00000;137;2,50000;1377;0,50000;32887,90000;4543,20000;34578,90000
81;28.11.2014;48;8;9;7;1;5;1;0;0,00000;1;1200,00000;4;150,00000;16;30,00000;153;2,50000;1373;0,50000;31832,85000;4587,90000;35181,85000
82;29.11.2014;48;5;3;6;0;1;8;0;0,00000;0;1200,00000;4;150,00000;16;30,00000;153;2,50000;1284;0,50000;31895,10000;4333,50000;33999,60000
83;30.11.2014;48;2;9;4;3;7;1;0;0,00000;0;1200,00000;0;150,00000;12;30,00000;135;2,50000;1221;0,50000;32647,80000;4121,40000;33955,80000
84;1.12.2014;49;3;6;4;7;5;0;0;0,00000;0;1200,00000;1;150,00000;7;30,00000;113;2,50000;1182;0,50000;33495,25000;4161,90000;34728,75000
85;2.12.2014;49;9;2;1;0;3;2;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;133;2,50000;1354;0,50000;34178,20000;4464,90000;35727,70000
86;3.12.2014;49;0;1;1;6;3;6;0;0,00000;0;1200,00000;3;150,00000;16;30,00000;115;2,50000;1439;0,50000;34519,25000;4556,10000;36456,25000
87;4.12.2014;49;4;1;8;6;3;9;0;0,00000;0;1200,00000;0;150,00000;9;30,00000;129;2,50000;1386;0,50000;35560,25000;4653,00000;36845,75000
88;5.12.2014;49;1;2;5;1;6;9;0;0,00000;0;1200,00000;3;150,00000;11;30,00000;146;2,50000;1371;0,50000;36083,85000;4708,20000;37914,35000
89;6.12.2014;49;2;4;3;1;7;9;0;0,00000;0;1200,00000;4;150,00000;8;30,00000;128;2,50000;1282;0,50000;36499,25000;4432,80000;38300,25000
90;7.12.2014;49;5;0;9;2;0;3;0;0,00000;0;1200,00000;0;150,00000;14;30,00000;126;2,50000;1225;0,50000;37231,35000;4159,20000;38578,85000
91;8.12.2014;50;3;2;6;0;2;8;0;0,00000;0;1200,00000;2;150,00000;10;30,00000;128;2,50000;1325;0,50000;37798,35000;4299,00000;39380,85000
92;9.12.2014;50;2;0;6;1;3;7;0;0,00000;0;1200,00000;2;150,00000;22;30,00000;133;2,50000;1345;0,50000;38014,05000;4361,40000;39979,05000
93;10.12.2014;50;5;8;9;1;7;9;0;0,00000;0;1200,00000;3;150,00000;17;30,00000;116;2,50000;1340;0,50000;38332,20000;4476,30000;40252,20000
94;11.12.2014;50;5;3;7;4;7;7;0;0,00000;0;1200,00000;2;150,00000;14;30,00000;124;2,50000;1458;0,50000;38925,95000;4705,50000;40684,95000
95;12.12.2014;50;2;6;8;6;4;9;0;0,00000;0;1200,00000;2;150,00000;11;30,00000;127;2,50000;1448;0,50000;39698,55000;4888,20000;41370,05000
96;13.12.2014;50;6;5;6;0;6;9;0;0,00000;0;1200,00000;0;150,00000;16;30,00000;122;2,50000;1361;0,50000;40568,40000;4670,70000;42033,90000
97;14.12.2014;50;8;5;8;9;9;4;0;0,00000;0;1200,00000;2;150,00000;8;30,00000;151;2,50000;1334;0,50000;41188,60000;4409,40000;42773,10000
98;15.12.2014;51;6;6;1;3;6;2;0;0,00000;0;1200,00000;2;150,00000;14;30,00000;147;2,50000;1394;0,50000;41733,00000;4657,80000;43517,50000
99;16.12.2014;51;7;4;4;7;2;8;0;0,00000;0;1200,00000;0;150,00000;17;30,00000;138;2,50000;1463;0,50000;42512,90000;4732,80000;44099,40000
100;17.12.2014;51;1;9;4;5;4;8;0;0,00000;2;1200,00000;2;150,00000;17;30,00000;153;2,50000;1480;0,50000;40530,75000;4700,70000;44863,25000
101;18.12.2014;51;0;6;3;6;3;0;0;0,00000;0;1200,00000;2;150,00000;10;30,00000;146;2,50000;1423;0,50000;41291,00000;4873,50000;42967,50000
102;19.12.2014;51;6;5;2;2;7;6;0;0,00000;1;1200,00000;1;150,00000;20;30,00000;142;2,50000;1561;0,50000;40682,90000;4954,80000;43768,40000
103;20.12.2014;51;4;3;5;4;0;8;0;0,00000;0;1200,00000;0;150,00000;16;30,00000;133;2,50000;1401;0,50000;41511,85000;4683,90000;43024,85000
104;21.12.2014;51;4;0;9;9;7;0;0;0,00000;0;1200,00000;0;150,00000;21;30,00000;135;2,50000;1297;0,50000;42114,35000;4437,00000;43730,35000
105;22.12.2014;52;0;5;0;5;0;7;0;0,00000;0;1200,00000;1;150,00000;21;30,00000;157;2,50000;1498;0,50000;42587,75000;4789,80000;44509,25000
106;23.12.2014;52;9;7;1;0;6;8;0;0,00000;1;1200,00000;2;150,00000;20;30,00000;169;2,50000;1582;0,50000;41839,85000;5131,20000;45153,35000
107;26.12.2014;52;9;3;6;3;1;7;0;0,00000;0;1200,00000;1;150,00000;12;30,00000;109;2,50000;1188;0,50000;42339,85000;3753,00000;43716,35000
108;27.12.2014;52;4;6;7;9;5;5;0;0,00000;0;1200,00000;3;150,00000;15;30,00000;150;2,50000;1396;0,50000;42635,60000;4537,50000;44608,60000
109;28.12.2014;52;9;7;2;2;0;5;0;0,00000;0;1200,00000;2;150,00000;15;30,00000;137;2,50000;1243;0,50000;43064,95000;4286,70000;44778,95000
110;29.12.2014;53;0;6;9;6;1;5;0;0,00000;0;1200,00000;0;150,00000;16;30,00000;163;2,50000;1373;0,50000;43881,20000;4780,50000;45455,20000
