ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;DODAT;E_1;E_2;E_3;E_4;E_5;E_6;E_7;E_8;E_9;E_10;E_11;E_12;E_13;E_14;JACKPOT1;VKLAD1;NA_VYHRY1;PREDP_SUMA1;SUMA_VYHRY1;NASLED_ZREB
102;12.4.1959;15;32;46;35;41;29;47;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;19.4.1959
103;19.4.1959;16;44;8;24;27;17;10;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;26.4.1959
104;26.4.1959;17;14;47;46;29;7;24;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;3.5.1959
105;3.5.1959;18;48;29;44;18;3;42;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;10.5.1959
106;10.5.1959;19;8;42;14;16;35;12;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;17.5.1959
107;17.5.1959;20;30;15;43;20;10;48;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;24.5.1959
108;24.5.1959;21;19;6;43;1;39;45;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;31.5.1959
109;31.5.1959;22;37;48;27;13;34;14;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;7.6.1959
110;7.6.1959;23;30;2;3;10;38;25;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;14.6.1959
111;14.6.1959;24;23;8;49;4;25;19;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;21.6.1959
112;21.6.1959;25;26;1;19;42;17;12;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;28.6.1959
113;28.6.1959;26;22;9;2;23;30;49;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;5.7.1959
