MATESID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;1_SUMA_VYH;1_POCET_VYH;2_SUMA_VYH;2_POCET_VYH;3_SUMA_VYH;3_POCET_VYH;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
61;28.7.1996;30;5;11;13;19;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
62;11.8.1996;32;5;7;16;28;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
63;25.8.1996;34;2;12;14;22;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
64;8.9.1996;36;5;6;28;31;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
65;22.9.1996;38;5;8;18;23;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
66;6.10.1996;40;15;18;20;30;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
67;20.10.1996;42;4;10;11;17;21;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
68;3.11.1996;44;9;11;23;26;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
69;17.11.1996;46;1;8;15;28;30;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
70;1.12.1996;48;1;4;17;19;28;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
71;15.12.1996;50;6;13;16;18;28;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
72;29.12.1996;52;4;11;12;17;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
73;12.1.1997;2;4;9;10;17;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
74;19.1.1997;3;10;16;20;23;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
75;26.1.1997;4;5;6;7;13;26;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
76;2.2.1997;5;11;13;17;31;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
77;9.2.1997;6;11;16;17;20;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
78;16.2.1997;7;11;23;26;33;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
79;23.2.1997;8;4;8;21;23;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
80;2.3.1997;9;2;4;7;30;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
81;9.3.1997;10;6;10;19;32;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
82;16.3.1997;11;14;31;33;34;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
83;23.3.1997;12;2;3;9;21;31;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
84;30.3.1997;13;3;7;15;25;27;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
85;6.4.1997;14;6;12;22;29;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
86;13.4.1997;15;6;7;8;17;27;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
87;20.4.1997;16;12;21;23;29;32;-0.90;0;-0.90;0;-0.90;0;0.00;-0.90;-0.90;0.00;0.00;
88;27.4.1997;17;8;17;21;34;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
89;4.5.1997;18;2;3;9;32;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
90;11.5.1997;19;2;12;15;31;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
